1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249
1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1253,1252,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1253,1289,1252,1249,1249,1249,1249,1253
1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1253,1252,1249,1249,1249,1249,1250,1288,1252,1249,1249,1249,1249,1249,1249,1249,1253,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1252,1249,1249,1249,1249,1249,1249,1249,1249,1249,1253,1252,1249,1213,1210,1288,1252,1249,1249,1249,1213
1249,1249,1249,1249,1249,1249,1253,1289,1289,1289,1289,1289,1290,1248,1253,1289,1289,1289,1290,1208,1212,1253,1289,1289,1289,1289,1289,1289,1290,1371,1407,1407,1407,1407,1407,1407,1407,1407,1407,1370,1367,1247,1247,1288,1289,1289,1289,1289,1289,1289,1252,1249,1253,1290,1248,1249,1249,1250,1247,1288,1252,1249,1249,1249
1249,1249,1249,1253,1289,1289,1290,1367,1207,1206,1208,1209,1209,1212,1213,1209,1209,1209,1210,1288,1289,1290,1371,1407,1407,1407,1407,1407,1407,1408,1596,1594,1594,1594,1594,1594,1594,1594,1597,1406,1407,1407,1407,1407,1407,1407,1407,1407,1407,1370,1288,1289,1290,1208,1212,1249,1249,1250,1247,1367,1248,1249,1249,1249
1249,1249,1253,1290,1247,1246,1207,1208,1209,1210,1288,1252,1249,1249,1253,1289,1289,1289,1290,1371,1407,1407,1408,-1,-1,-1,-1,-1,-1,-1,1352,-1,-1,-1,-1,-1,-1,-1,1355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1406,1407,1370,1367,1248,1249,1249,1249,1213,1210,1246,1248,1249,1249,1249
1249,1249,1250,1246,1247,1208,1209,1212,1249,1250,1247,1288,1289,1289,1290,1371,1407,1407,1407,1408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1355,-1,-1,-1,1558,-1,-1,-1,1355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1406,1370,1248,1249,1253,1252,1249,1213,1209,1212,1249,1249,1249
1249,1253,1290,1208,1209,1212,1253,1289,1289,1290,1371,1407,1407,1407,1407,1408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1552,-1,-1,-1,-1,-1,-1,-1,1552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1326,1327,1327,1330,1288,1252,1213,1212,1249,1249,1249,1249,1249,1249,1249
1249,1213,1209,1212,1253,1289,1290,1371,1407,1407,1408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1593,1594,1594,1594,1595,-1,1593,1594,1595,-1,-1,-1,-1,-1,-1,-1,-1,1326,1327,1330,1207,1207,1246,1246,1288,1289,1289,1289,1252,1249,1249,1249,1253,1289
1249,1249,1253,1289,1290,1371,1407,1408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1326,1327,1330,1371,1407,1407,1407,1370,1367,1206,1247,1367,1206,1288,1289,1289,1252,1213,1209
